dispute_id,order_id,customer_id,order_date,delivery_date,dispute_date,days_to_dispute,order_amount_inr,customer_avg_order_val,order_value_ratio,reason_code,avs_match,cvv_match,pod_confirmed,address_match,repeat_customer,win_probability_ground_truth,won_dispute
DSP-2024-1038,ORD-800038,CUST-19865,2024-01-09 20:00:00,2024-01-12 20:00:00,2024-01-16 20:00:00,4,1088.01,1110.21,0.98,13.3_not_as_described,0,1,0,0,0,0.2824,0
DSP-2024-1040,ORD-800040,CUST-21954,2024-01-08 13:00:00,2024-01-10 13:00:00,2024-01-17 13:00:00,7,6087.64,6545.85,0.93,10.4_fraud,0,1,1,1,1,0.2064,0
DSP-2024-1012,ORD-800012,CUST-84290,2024-01-04 15:00:00,2024-01-08 15:00:00,2024-01-17 15:00:00,9,2950.39,2950.39,1.0,10.4_fraud,1,1,0,0,1,0.6342,1
DSP-2024-1042,ORD-800042,CUST-30103,2024-01-08 20:00:00,2024-01-13 20:00:00,2024-01-17 20:00:00,4,8934.93,3081.01,2.9,12.6_duplicate,1,1,1,1,0,0.3301,0
DSP-2024-1048,ORD-800048,CUST-44911,2024-01-10 15:00:00,2024-01-14 15:00:00,2024-01-18 15:00:00,4,3324.07,2103.84,1.58,13.3_not_as_described,1,0,1,1,1,0.5251,1
DSP-2024-1039,ORD-800039,CUST-46159,2024-01-09 19:00:00,2024-01-15 19:00:00,2024-01-18 19:00:00,3,997.43,1246.79,0.8,10.4_fraud,0,1,0,1,0,0.0932,0
DSP-2024-1069,ORD-800069,CUST-36143,2024-01-15 20:00:00,2024-01-17 20:00:00,2024-01-18 20:00:00,1,1852.31,2437.25,0.76,13.1_not_received,1,1,1,1,0,0.8322,1
DSP-2024-1061,ORD-800061,CUST-90199,2024-01-14 12:00:00,2024-01-17 12:00:00,2024-01-19 12:00:00,2,2755.63,3674.18,0.75,13.1_not_received,0,1,0,1,0,0.0391,0
DSP-2024-1011,ORD-800011,CUST-71135,2024-01-03 16:00:00,2024-01-08 16:00:00,2024-01-19 16:00:00,11,1189.14,1292.54,0.92,13.1_not_received,1,1,1,1,1,0.9302,1
DSP-2024-1052,ORD-800052,CUST-71120,2024-01-12 12:00:00,2024-01-17 12:00:00,2024-01-20 12:00:00,3,2145.72,1898.87,1.13,13.1_not_received,0,1,1,1,0,0.8277,1
DSP-2024-1017,ORD-800017,CUST-30056,2024-01-04 12:00:00,2024-01-06 12:00:00,2024-01-20 12:00:00,14,1836.08,2160.09,0.85,10.4_fraud,1,1,0,1,0,0.4638,0
DSP-2024-1087,ORD-800087,CUST-42117,2024-01-17 14:00:00,2024-01-19 14:00:00,2024-01-20 14:00:00,1,10695.8,5069.1,2.11,10.4_fraud,1,1,1,1,0,0.7465,1
DSP-2024-1062,ORD-800062,CUST-96231,2024-01-14 15:00:00,2024-01-19 15:00:00,2024-01-20 15:00:00,1,1867.06,1481.79,1.26,13.3_not_as_described,0,1,0,1,1,0.6882,1
DSP-2024-1036,ORD-800036,CUST-81158,2024-01-08 18:00:00,2024-01-10 18:00:00,2024-01-20 18:00:00,10,24408.41,10896.61,2.24,13.3_not_as_described,1,1,0,0,0,0.0938,0
DSP-2024-1070,ORD-800070,CUST-59153,2024-01-14 08:00:00,2024-01-16 08:00:00,2024-01-21 08:00:00,5,5346.49,2064.28,2.59,10.4_fraud,1,1,1,1,0,0.9187,1
DSP-2024-1014,ORD-800014,CUST-20729,2024-01-04 17:00:00,2024-01-06 17:00:00,2024-01-22 17:00:00,16,2474.55,2811.99,0.88,10.4_fraud,1,1,1,1,0,0.8935,1
DSP-2024-1029,ORD-800029,CUST-48765,2024-01-06 10:00:00,2024-01-12 10:00:00,2024-01-23 10:00:00,11,2918.08,3206.68,0.91,13.3_not_as_described,1,0,1,1,1,0.6095,1
DSP-2024-1044,ORD-800044,CUST-63173,2024-01-11 10:00:00,2024-01-17 10:00:00,2024-01-24 10:00:00,7,7667.74,4675.45,1.64,12.6_duplicate,1,1,0,1,0,0.4313,0
DSP-2024-1041,ORD-800041,CUST-19446,2024-01-10 11:00:00,2024-01-16 11:00:00,2024-01-24 11:00:00,8,3439.89,1186.17,2.9,10.4_fraud,1,1,1,1,0,0.9314,1
DSP-2024-1078,ORD-800078,CUST-75661,2024-01-16 16:00:00,2024-01-19 16:00:00,2024-01-24 16:00:00,5,2405.99,2643.95,0.91,10.4_fraud,0,1,1,1,1,0.1439,0
DSP-2024-1024,ORD-800024,CUST-67854,2024-01-07 16:00:00,2024-01-13 16:00:00,2024-01-24 16:00:00,11,2271.84,2442.84,0.93,10.4_fraud,1,1,1,1,1,0.9489,1
DSP-2024-1063,ORD-800063,CUST-28787,2024-01-13 21:00:00,2024-01-19 21:00:00,2024-01-24 21:00:00,5,917.66,1019.62,0.9,10.4_fraud,0,1,1,1,0,0.0944,0
DSP-2024-1084,ORD-800084,CUST-96365,2024-01-18 14:00:00,2024-01-23 14:00:00,2024-01-25 14:00:00,2,1976.36,1674.88,1.18,10.4_fraud,0,1,1,1,0,0.109,0
DSP-2024-1008,ORD-800008,CUST-60859,2024-01-03 13:00:00,2024-01-08 13:00:00,2024-01-26 13:00:00,18,2102.01,1946.31,1.08,13.3_not_as_described,1,1,1,1,1,0.669,1
DSP-2024-1089,ORD-800089,CUST-52828,2024-01-17 16:00:00,2024-01-20 16:00:00,2024-01-26 16:00:00,6,4169.41,3533.4,1.18,10.4_fraud,0,0,1,0,0,0.0648,0
DSP-2024-1077,ORD-800077,CUST-93194,2024-01-15 11:00:00,2024-01-18 11:00:00,2024-01-27 11:00:00,9,3386.22,7695.95,0.44,10.4_fraud,1,1,1,0,1,0.738,1
DSP-2024-1035,ORD-800035,CUST-36734,2024-01-09 13:00:00,2024-01-12 13:00:00,2024-01-27 13:00:00,15,992.85,1141.21,0.87,10.4_fraud,0,1,1,1,0,0.1258,0
DSP-2024-1065,ORD-800065,CUST-97266,2024-01-13 19:00:00,2024-01-19 19:00:00,2024-01-27 19:00:00,8,4309.66,5070.19,0.85,12.6_duplicate,1,0,1,0,0,0.5161,1
DSP-2024-1117,ORD-800117,CUST-18004,2024-01-22 10:00:00,2024-01-24 10:00:00,2024-01-28 10:00:00,4,776.56,1991.17,0.39,10.4_fraud,0,0,0,1,0,0.1136,0
DSP-2024-1049,ORD-800049,CUST-25358,2024-01-11 10:00:00,2024-01-16 10:00:00,2024-01-28 10:00:00,12,5671.49,2807.67,2.02,10.4_fraud,0,1,0,0,0,0.0663,0
DSP-2024-1093,ORD-800093,CUST-27347,2024-01-18 11:00:00,2024-01-24 11:00:00,2024-01-28 11:00:00,4,9899.17,3055.3,3.24,10.4_fraud,1,1,1,1,0,0.8355,1
DSP-2024-1006,ORD-800006,CUST-74044,2024-01-03 16:00:00,2024-01-09 16:00:00,2024-01-28 16:00:00,19,2529.68,6169.95,0.41,10.4_fraud,1,1,1,1,0,0.8286,1
DSP-2024-1129,ORD-800129,CUST-84637,2024-01-26 10:00:00,2024-01-28 10:00:00,2024-01-29 10:00:00,1,1836.69,3339.43,0.55,13.3_not_as_described,1,1,1,1,0,0.1988,0
DSP-2024-1083,ORD-800083,CUST-18906,2024-01-18 11:00:00,2024-01-24 11:00:00,2024-01-29 11:00:00,5,4926.42,2463.21,2.0,13.1_not_received,1,1,0,1,0,0.0729,0
DSP-2024-1002,ORD-800002,CUST-27159,2024-01-03 10:00:00,2024-01-05 10:00:00,2024-01-30 10:00:00,25,5656.92,2184.14,2.59,10.4_fraud,1,0,0,1,0,0.0852,0
DSP-2024-1073,ORD-800073,CUST-69321,2024-01-14 15:00:00,2024-01-19 15:00:00,2024-01-30 15:00:00,11,8485.32,11785.16,0.72,13.1_not_received,1,0,0,1,0,0.0604,0
DSP-2024-1074,ORD-800074,CUST-27778,2024-01-15 13:00:00,2024-01-21 13:00:00,2024-01-31 13:00:00,10,4468.54,5319.69,0.84,13.1_not_received,1,1,1,1,0,0.8481,1
DSP-2024-1124,ORD-800124,CUST-16581,2024-01-25 16:00:00,2024-01-29 16:00:00,2024-01-31 16:00:00,2,7950.6,8196.49,0.97,10.4_fraud,1,1,0,1,0,0.655,1
DSP-2024-1064,ORD-800064,CUST-23281,2024-01-14 19:00:00,2024-01-19 19:00:00,2024-01-31 19:00:00,12,4329.57,1277.16,3.39,13.1_not_received,1,1,1,0,1,0.78,1
DSP-2024-1105,ORD-800105,CUST-92617,2024-01-22 20:00:00,2024-01-27 20:00:00,2024-01-31 20:00:00,4,1287.81,1170.74,1.1,10.4_fraud,1,1,1,0,0,0.2074,0
DSP-2024-1022,ORD-800022,CUST-69163,2024-01-06 11:00:00,2024-01-10 11:00:00,2024-02-01 11:00:00,22,4685.84,1667.56,2.81,13.3_not_as_described,1,1,1,1,0,0.2273,0
DSP-2024-1118,ORD-800118,CUST-91623,2024-01-24 13:00:00,2024-01-28 13:00:00,2024-02-01 13:00:00,4,2343.93,1028.04,2.28,10.4_fraud,1,1,1,1,1,0.8918,1
DSP-2024-1043,ORD-800043,CUST-37306,2024-01-09 15:00:00,2024-01-15 15:00:00,2024-02-01 15:00:00,17,538.19,978.53,0.55,10.4_fraud,1,1,1,0,0,0.4561,0
DSP-2024-1109,ORD-800109,CUST-29715,2024-01-22 14:00:00,2024-01-25 14:00:00,2024-02-02 14:00:00,8,11861.39,4425.89,2.68,13.1_not_received,0,1,1,1,0,0.7989,1
DSP-2024-1034,ORD-800034,CUST-15122,2024-01-09 14:00:00,2024-01-13 14:00:00,2024-02-02 14:00:00,20,2296.29,2701.52,0.85,10.4_fraud,1,1,1,0,0,0.604,1
DSP-2024-1005,ORD-800005,CUST-97054,2024-01-02 17:00:00,2024-01-07 17:00:00,2024-02-02 17:00:00,26,1760.92,1743.49,1.01,13.3_not_as_described,1,1,1,1,1,0.5822,1
DSP-2024-1123,ORD-800123,CUST-19885,2024-01-25 18:00:00,2024-01-28 18:00:00,2024-02-02 18:00:00,5,1407.66,1421.88,0.99,13.3_not_as_described,1,0,1,1,0,0.2769,0
DSP-2024-1104,ORD-800104,CUST-13081,2024-01-20 21:00:00,2024-01-24 21:00:00,2024-02-02 21:00:00,9,8694.88,2734.24,3.18,10.4_fraud,0,1,0,1,1,0.1293,0
DSP-2024-1058,ORD-800058,CUST-45400,2024-01-13 08:00:00,2024-01-15 08:00:00,2024-02-03 08:00:00,19,982.45,1034.16,0.95,13.1_not_received,1,0,1,0,1,0.8824,1
DSP-2024-1135,ORD-800135,CUST-73922,2024-01-26 08:00:00,2024-01-30 08:00:00,2024-02-03 08:00:00,4,13864.23,4731.82,2.93,13.1_not_received,0,1,1,1,0,0.9116,1
DSP-2024-1095,ORD-800095,CUST-22411,2024-01-19 14:00:00,2024-01-22 14:00:00,2024-02-03 14:00:00,12,2563.97,2136.64,1.2,10.4_fraud,1,1,1,1,0,0.9216,1
DSP-2024-1116,ORD-800116,CUST-95120,2024-01-24 15:00:00,2024-01-30 15:00:00,2024-02-03 15:00:00,4,15379.42,4806.07,3.2,10.4_fraud,0,1,1,1,0,0.05,0
DSP-2024-1148,ORD-800148,CUST-64131,2024-01-28 18:00:00,2024-01-30 18:00:00,2024-02-03 18:00:00,4,5240.83,4517.96,1.16,10.4_fraud,0,1,1,1,0,0.1409,0
DSP-2024-1068,ORD-800068,CUST-62098,2024-01-14 16:00:00,2024-01-16 16:00:00,2024-02-04 16:00:00,19,1345.9,1359.5,0.99,13.3_not_as_described,1,1,1,1,0,0.5717,1
DSP-2024-1085,ORD-800085,CUST-19435,2024-01-16 17:00:00,2024-01-18 17:00:00,2024-02-04 17:00:00,17,11511.68,5379.29,2.14,10.4_fraud,0,1,0,1,1,0.2498,0
DSP-2024-1060,ORD-800060,CUST-17906,2024-01-13 20:00:00,2024-01-19 20:00:00,2024-02-04 20:00:00,16,2038.13,1039.86,1.96,12.6_duplicate,0,1,0,1,0,0.2892,0
DSP-2024-1031,ORD-800031,CUST-53088,2024-01-06 20:00:00,2024-01-11 20:00:00,2024-02-04 20:00:00,24,709.07,971.33,0.73,13.1_not_received,1,1,1,1,0,0.7401,1
DSP-2024-1076,ORD-800076,CUST-86367,2024-01-16 20:00:00,2024-01-19 20:00:00,2024-02-04 20:00:00,16,3830.49,3016.13,1.27,13.1_not_received,1,1,0,1,0,0.0672,0
DSP-2024-1072,ORD-800072,CUST-36745,2024-01-16 14:00:00,2024-01-21 14:00:00,2024-02-05 14:00:00,15,3487.54,3487.54,1.0,12.6_duplicate,0,1,1,1,0,0.5588,1
DSP-2024-1131,ORD-800131,CUST-55734,2024-01-26 15:00:00,2024-01-31 15:00:00,2024-02-05 15:00:00,5,5572.42,4387.73,1.27,10.4_fraud,1,1,1,1,1,0.9284,1
DSP-2024-1075,ORD-800075,CUST-80135,2024-01-17 16:00:00,2024-01-22 16:00:00,2024-02-05 16:00:00,14,1631.32,1735.45,0.94,13.1_not_received,1,1,1,0,0,0.7233,1
DSP-2024-1134,ORD-800134,CUST-11932,2024-01-27 20:00:00,2024-02-02 20:00:00,2024-02-05 20:00:00,3,1271.43,1550.52,0.82,12.6_duplicate,1,1,1,1,0,0.4299,0
DSP-2024-1021,ORD-800021,CUST-69031,2024-01-06 21:00:00,2024-01-12 21:00:00,2024-02-05 21:00:00,24,1376.68,1480.3,0.93,10.4_fraud,1,1,0,0,0,0.4411,0
DSP-2024-1081,ORD-800081,CUST-61924,2024-01-18 08:00:00,2024-01-23 08:00:00,2024-02-06 08:00:00,14,1968.94,2029.84,0.97,10.4_fraud,1,1,1,1,0,0.8957,1
DSP-2024-1126,ORD-800126,CUST-53056,2024-01-25 08:00:00,2024-01-29 08:00:00,2024-02-06 08:00:00,8,1861.71,2243.03,0.83,13.3_not_as_described,1,1,1,0,0,0.2269,0
DSP-2024-1143,ORD-800143,CUST-60961,2024-01-28 13:00:00,2024-01-30 13:00:00,2024-02-06 13:00:00,7,1719.85,1508.64,1.14,10.4_fraud,0,1,0,0,0,0.0499,0
DSP-2024-1079,ORD-800079,CUST-58320,2024-01-17 14:00:00,2024-01-20 14:00:00,2024-02-06 14:00:00,17,993.5,3204.84,0.31,13.1_not_received,1,1,0,1,1,0.0881,0
DSP-2024-1146,ORD-800146,CUST-36654,2024-01-29 16:00:00,2024-01-31 16:00:00,2024-02-06 16:00:00,6,3849.45,3631.56,1.06,13.1_not_received,1,1,1,1,0,0.8414,1
DSP-2024-1047,ORD-800047,CUST-85629,2024-01-10 19:00:00,2024-01-12 19:00:00,2024-02-06 19:00:00,25,721.0,868.67,0.83,10.4_fraud,0,1,0,1,0,0.0933,0
DSP-2024-1054,ORD-800054,CUST-79626,2024-01-11 20:00:00,2024-01-13 20:00:00,2024-02-06 20:00:00,24,6791.95,5957.85,1.14,13.3_not_as_described,1,1,1,0,1,0.6289,1
DSP-2024-1128,ORD-800128,CUST-13760,2024-01-26 11:00:00,2024-01-29 11:00:00,2024-02-07 11:00:00,9,3833.11,2323.1,1.65,10.4_fraud,1,1,0,1,1,0.8279,1
DSP-2024-1151,ORD-800151,CUST-65751,2024-01-31 19:00:00,2024-02-04 19:00:00,2024-02-07 19:00:00,3,2936.18,2387.14,1.23,10.4_fraud,1,1,1,0,0,0.4071,0
DSP-2024-1026,ORD-800026,CUST-81726,2024-01-05 08:00:00,2024-01-07 08:00:00,2024-02-08 08:00:00,32,797.16,916.28,0.87,13.1_not_received,1,1,1,1,0,0.7379,1
DSP-2024-1132,ORD-800132,CUST-89239,2024-01-26 11:00:00,2024-01-31 11:00:00,2024-02-08 11:00:00,8,530.4,1178.67,0.45,10.4_fraud,1,1,1,1,0,0.8804,1
DSP-2024-1056,ORD-800056,CUST-12983,2024-01-12 14:00:00,2024-01-17 14:00:00,2024-02-08 14:00:00,22,1900.34,1759.57,1.08,10.4_fraud,0,1,0,1,1,0.2477,0
DSP-2024-1046,ORD-800046,CUST-12482,2024-01-11 15:00:00,2024-01-15 15:00:00,2024-02-08 15:00:00,24,5594.77,5328.35,1.05,13.1_not_received,1,1,0,1,0,0.0656,0
DSP-2024-1001,ORD-800001,CUST-28431,2024-01-03 21:00:00,2024-01-07 21:00:00,2024-02-08 21:00:00,32,3541.46,3650.99,0.97,10.4_fraud,1,1,1,1,0,0.9122,1
DSP-2024-1178,ORD-800178,CUST-40954,2024-02-04 10:00:00,2024-02-07 10:00:00,2024-02-09 10:00:00,2,1241.83,1395.31,0.89,10.4_fraud,0,1,0,1,1,0.1904,0
DSP-2024-1037,ORD-800037,CUST-16469,2024-01-08 13:00:00,2024-01-13 13:00:00,2024-02-09 13:00:00,27,3009.12,2686.71,1.12,12.6_duplicate,1,1,1,1,0,0.5043,1
DSP-2024-1067,ORD-800067,CUST-94976,2024-01-13 15:00:00,2024-01-18 15:00:00,2024-02-09 15:00:00,22,30333.08,9420.21,3.22,13.3_not_as_described,0,1,1,1,1,0.6355,1
DSP-2024-1094,ORD-800094,CUST-52913,2024-01-19 16:00:00,2024-01-22 16:00:00,2024-02-09 16:00:00,18,9314.13,11088.25,0.84,10.4_fraud,1,1,1,0,1,0.4966,0
DSP-2024-1130,ORD-800130,CUST-48244,2024-01-25 21:00:00,2024-01-27 21:00:00,2024-02-09 21:00:00,13,8694.94,5573.68,1.56,13.1_not_received,1,1,1,1,1,0.9144,1
DSP-2024-1119,ORD-800119,CUST-88112,2024-01-23 09:00:00,2024-01-26 09:00:00,2024-02-10 09:00:00,15,1370.35,1257.2,1.09,10.4_fraud,0,1,1,1,1,0.2086,0
DSP-2024-1103,ORD-800103,CUST-18894,2024-01-21 10:00:00,2024-01-27 10:00:00,2024-02-10 10:00:00,14,3503.6,4379.5,0.8,13.1_not_received,0,1,1,0,0,0.9122,1
DSP-2024-1122,ORD-800122,CUST-44228,2024-01-23 11:00:00,2024-01-25 11:00:00,2024-02-10 11:00:00,16,3426.34,1696.21,2.02,10.4_fraud,0,0,0,1,1,0.1536,0
DSP-2024-1082,ORD-800082,CUST-16471,2024-01-17 13:00:00,2024-01-22 13:00:00,2024-02-10 13:00:00,19,7959.01,2969.78,2.68,13.1_not_received,0,1,1,1,1,0.8698,1
DSP-2024-1152,ORD-800152,CUST-57118,2024-01-29 17:00:00,2024-02-04 17:00:00,2024-02-10 17:00:00,6,4813.98,4912.22,0.98,10.4_fraud,1,1,1,0,1,0.6855,1
DSP-2024-1183,ORD-800183,CUST-43665,2024-02-05 08:00:00,2024-02-07 08:00:00,2024-02-11 08:00:00,4,2855.81,2974.8,0.96,13.1_not_received,0,1,1,1,0,0.887,1
DSP-2024-1169,ORD-800169,CUST-26193,2024-02-02 12:00:00,2024-02-05 12:00:00,2024-02-11 12:00:00,6,4051.86,3617.73,1.12,13.1_not_received,0,0,1,1,1,0.914,1
DSP-2024-1172,ORD-800172,CUST-64318,2024-02-04 08:00:00,2024-02-06 08:00:00,2024-02-12 08:00:00,6,942.19,961.42,0.98,10.4_fraud,0,1,0,0,1,0.0654,0
DSP-2024-1090,ORD-800090,CUST-95957,2024-01-18 09:00:00,2024-01-20 09:00:00,2024-02-12 09:00:00,23,2796.4,3883.89,0.72,10.4_fraud,0,1,1,1,0,0.1146,0
DSP-2024-1115,ORD-800115,CUST-43243,2024-01-22 11:00:00,2024-01-28 11:00:00,2024-02-12 11:00:00,15,12050.16,6965.41,1.73,10.4_fraud,0,0,1,0,0,0.0679,0
DSP-2024-1136,ORD-800136,CUST-13630,2024-01-27 12:00:00,2024-01-31 12:00:00,2024-02-12 12:00:00,12,1707.88,2372.06,0.72,10.4_fraud,0,1,1,1,0,0.0509,0
DSP-2024-1030,ORD-800030,CUST-52808,2024-01-06 14:00:00,2024-01-12 14:00:00,2024-02-12 14:00:00,31,7101.07,6636.51,1.07,13.1_not_received,1,1,1,1,1,0.9233,1
DSP-2024-1167,ORD-800167,CUST-55270,2024-02-02 14:00:00,2024-02-06 14:00:00,2024-02-12 14:00:00,6,3470.33,7887.12,0.44,10.4_fraud,1,0,1,1,0,0.1349,0
DSP-2024-1110,ORD-800110,CUST-10162,2024-01-23 19:00:00,2024-01-26 19:00:00,2024-02-12 19:00:00,17,310.08,969.0,0.32,10.4_fraud,1,1,1,0,0,0.5247,1
DSP-2024-1114,ORD-800114,CUST-28133,2024-01-23 18:00:00,2024-01-29 18:00:00,2024-02-13 18:00:00,15,642.96,868.86,0.74,13.1_not_received,1,1,0,1,1,0.0556,0
DSP-2024-1140,ORD-800140,CUST-97329,2024-01-27 20:00:00,2024-01-31 20:00:00,2024-02-13 20:00:00,13,1330.49,1099.58,1.21,13.1_not_received,1,1,0,1,0,0.0528,0
DSP-2024-1107,ORD-800107,CUST-86256,2024-01-21 11:00:00,2024-01-23 11:00:00,2024-02-14 11:00:00,22,1351.76,1689.7,0.8,13.1_not_received,0,1,0,0,0,0.0278,0
DSP-2024-1111,ORD-800111,CUST-87454,2024-01-23 12:00:00,2024-01-26 12:00:00,2024-02-14 12:00:00,19,9135.54,10747.69,0.85,13.1_not_received,0,1,1,1,0,0.8623,1
DSP-2024-1144,ORD-800144,CUST-12224,2024-01-28 15:00:00,2024-02-02 15:00:00,2024-02-14 15:00:00,12,2326.98,2502.13,0.93,10.4_fraud,1,1,0,1,1,0.6633,1
DSP-2024-1182,ORD-800182,CUST-47548,2024-02-04 09:00:00,2024-02-10 09:00:00,2024-02-15 09:00:00,5,18584.09,7941.92,2.34,13.1_not_received,1,1,1,1,0,0.7903,1
DSP-2024-1098,ORD-800098,CUST-38602,2024-01-20 15:00:00,2024-01-22 15:00:00,2024-02-15 15:00:00,24,1375.74,1206.79,1.14,10.4_fraud,1,1,1,1,1,0.9152,1
DSP-2024-1204,ORD-800204,CUST-44642,2024-02-10 19:00:00,2024-02-14 19:00:00,2024-02-15 19:00:00,1,1793.56,1676.22,1.07,12.6_duplicate,1,1,0,1,0,0.5881,1
DSP-2024-1165,ORD-800165,CUST-66408,2024-02-02 11:00:00,2024-02-07 11:00:00,2024-02-16 11:00:00,9,12960.44,4782.45,2.71,12.6_duplicate,1,1,1,1,0,0.3271,0
DSP-2024-1100,ORD-800100,CUST-87360,2024-01-20 11:00:00,2024-01-22 11:00:00,2024-02-16 11:00:00,25,4432.04,1666.18,2.66,13.3_not_as_described,1,1,1,0,0,0.1173,0
DSP-2024-1196,ORD-800196,CUST-13373,2024-02-07 12:00:00,2024-02-10 12:00:00,2024-02-16 12:00:00,6,5860.46,2472.77,2.37,10.4_fraud,1,1,0,1,1,0.7095,1
DSP-2024-1059,ORD-800059,CUST-87129,2024-01-14 09:00:00,2024-01-16 09:00:00,2024-02-17 09:00:00,32,5219.89,4833.23,1.08,13.1_not_received,1,1,1,0,1,0.947,1
DSP-2024-1205,ORD-800205,CUST-35954,2024-02-09 15:00:00,2024-02-13 15:00:00,2024-02-17 15:00:00,4,2172.2,5298.04,0.41,10.4_fraud,1,1,1,1,1,0.9295,1
DSP-2024-1177,ORD-800177,CUST-37518,2024-02-04 16:00:00,2024-02-10 16:00:00,2024-02-17 16:00:00,7,3158.41,3760.01,0.84,13.1_not_received,0,1,1,1,0,0.7987,1
DSP-2024-1181,ORD-800181,CUST-59810,2024-02-04 16:00:00,2024-02-10 16:00:00,2024-02-17 16:00:00,7,2391.68,2026.85,1.18,13.3_not_as_described,1,1,0,1,1,0.8753,1
DSP-2024-1133,ORD-800133,CUST-63161,2024-01-25 17:00:00,2024-01-31 17:00:00,2024-02-17 17:00:00,17,2948.45,2268.04,1.3,10.4_fraud,1,0,0,0,0,0.113,0
DSP-2024-1168,ORD-800168,CUST-24256,2024-02-03 08:00:00,2024-02-08 08:00:00,2024-02-18 08:00:00,10,4502.78,4169.24,1.08,13.1_not_received,1,0,1,1,1,0.8855,1
DSP-2024-1092,ORD-800092,CUST-66154,2024-01-19 10:00:00,2024-01-22 10:00:00,2024-02-18 10:00:00,27,3994.92,5121.69,0.78,13.1_not_received,0,1,1,1,0,0.8258,1
DSP-2024-1226,ORD-800226,CUST-50469,2024-02-12 11:00:00,2024-02-15 11:00:00,2024-02-18 11:00:00,3,3058.97,2427.75,1.26,10.4_fraud,1,1,1,1,0,0.8678,1
DSP-2024-1155,ORD-800155,CUST-29710,2024-01-31 12:00:00,2024-02-03 12:00:00,2024-02-18 12:00:00,15,9464.14,4929.24,1.92,10.4_fraud,0,1,0,0,0,0.028,0
